date,close,volume,open,high,low
2/2/18,193.97,6040731,199.25,199.3,193.44
2/1/18,199.9,3552434,199.34,202.25,198.28
1/31/18,200.9,4534826,203.22,205.083,200.23
1/30/18,201.81,5979158,201.47,203.15,191.57
1/29/18,204.92,3605990,207.23,207.605,204.71
1/26/18,207.23,3766504,205.6,207.3098,204.44
1/25/18,205.37,3534053,206.8,206.83,203.84
1/24/18,206.22,4098027,205.2,207.1,204.551
1/23/18,204.9,3597942,204.89,206.35,204.151
1/22/18,204.46,4849101,201.6,204.47,201.51
1/19/18,201.33,5790981,199.81,201.33,199.13
1/18/18,198.33,4460343,199.78,200.24,197.66
1/17/18,199.82,3995270,197.5,199.82,196.8401
1/16/18,196.31,5661794,197.86,198.9496,195.7
1/12/18,196.42,6746001,195.5,199.42,194.82
1/11/18,194.68,3895340,191.68,194.73,191.4
1/10/18,191.8,3116355,192.76,193.216,191.65
1/9/18,193.1,3007972,192.7,193.47,191.64
1/8/18,192.04,3503481,191.72,193.72,191.6
1/5/18,192.5,4223343,190.93,192.54,190.51
1/4/18,190.51,4046966,189.87,190.87,188.47
1/3/18,189.01,4530010,188,189.36,187.819
1/2/18,188.03,4684064,190.21,190.72,188.0103
12/29/17,189.53,4637060,190.74,190.74,189.53
12/28/17,189.78,3175601,190.91,190.98,189.64
12/27/17,190.19,5910599,190.6,191.49,190.01
12/26/17,190.36,2963155,188.53,190.42,188.34
12/22/17,188.13,3256509,188.46,188.46,187.27
12/21/17,188.08,5855241,187.89,188.84,187.44
12/20/17,187.31,5382622,187,187.9024,186.035
12/19/17,185.98,4492044,185.24,186.72,184.6
12/18/17,184.73,5011569,183.5,185.47,183.5
12/15/17,182.58,8199590,182.99,183.21,182.13
12/14/17,182.13,3542577,183.59,184,182.06
12/13/17,183.03,5176163,182.01,183.67,182
12/12/17,181.8,5274612,182.75,183.21,181.66
12/11/17,182.25,5537858,182.9,182.96,181.1201
12/8/17,183.41,5091436,182.5,183.9,182.16
12/7/17,182,5484303,180.05,182.58,179.77
12/6/17,180.8,6887377,180.25,182.15,178.68
12/5/17,182.85,6341919,184.79,184.91,182.2589
12/4/17,184.9,6190213,183.19,186.31,183.19
12/1/17,180.42,4603856,180.32,180.6,176.7
11/30/17,179.82,9122675,178.07,180.67,177.41
11/29/17,177.25,4888706,176.57,178.43,175.68
11/28/17,176.57,6047956,174.89,176.77,172.9911
11/27/17,174.16,4539303,172.87,174.91,172.38
11/24/17,172.33,1853587,172.11,173.1,171.7425
11/22/17,172.06,4132396,172.89,172.94,172.04
11/21/17,172.86,6224148,170.53,172.86,170.15
11/20/17,170.45,4695428,168.14,170.69,167.8
11/17/17,167.74,4529905,167,168.43,166.06
11/16/17,167.5,4585029,166.68,167.76,166.06
11/15/17,165.47,5463931,167.44,167.44,165.35
11/14/17,168.06,10228430,163.62,168.14,163.15
11/13/17,165.35,7164810,164.64,166.64,164.25
11/10/17,164.11,3553230,163.34,164.58,162.93
11/9/17,163.27,3400652,164.1,164.135,162.28
11/8/17,164.05,2912855,163.34,164.68,163.27
11/7/17,163.66,3196618,164.09,164.4,162.83
11/6/17,164.22,3275119,164.8,164.88,163.01
11/3/17,164.39,3078360,163.01,164.99,162.68
11/2/17,162.71,6509043,165.01,165.01,160.53
11/1/17,165.38,3564119,166.42,166.74,165.12
10/31/17,165.78,2917745,165.4,166.34,165.1
10/30/17,165.31,3900110,166.99,166.99,164.88
10/27/17,167.34,3718103,166.8,167.75,166.46
10/26/17,167.65,3748052,166.39,167.94,166.1068
10/25/17,166.07,4189075,166.11,166.95,165.3803
10/24/17,166.03,3663003,164.67,166.46,164.65
10/23/17,164.74,3991776,164.04,166.265,163.75
10/20/17,163.43,4094945,163.97,164.15,162.74
10/19/17,163.24,2672517,163.5,164.11,162.77
10/18/17,163.45,2758010,163.42,164.24,163.35
10/17/17,163.35,4160953,164.22,164.92,161.5111
10/16/17,164.22,2585938,164.47,164.67,163.26
10/13/17,164.47,3252715,164.92,166.0699,164.35
10/12/17,164.59,3458664,165.41,165.41,164.47
10/11/17,165.25,2319111,165.19,165.865,164.45
10/10/17,165.16,2755375,165.7,165.8,164.64
10/9/17,165.71,2131437,166.14,166.63,165.42
10/6/17,165.85,2897309,166.18,166.63,165.74
10/5/17,166.12,3493807,165.07,166.25,164.26
10/4/17,165.29,2738444,165.49,166.08,164.91
10/3/17,165.17,3046204,164.06,165.28,164
10/2/17,164.02,2635440,164.2,164.25,163.22
9/29/17,163.56,3446121,162.5,163.61,162.15
9/28/17,162.36,4610947,160.72,162.45,160.66
9/27/17,160.92,3922540,161.38,161.69,160.14
9/26/17,161.26,3075068,161.55,162,160.79
9/25/17,161.1,4861448,160.05,161.43,159.75
9/22/17,159.97,3576063,159.14,160.09,159.01
9/21/17,159.19,2892233,158.87,159.556,158.72
9/20/17,158.68,4596396,157.57,159.39,157.36
9/19/17,157.66,3703710,157.8,158.32,157.16
9/18/17,157.81,4003948,159,159,157.69
9/15/17,158.4,9101430,159.98,159.99,158.29
9/14/17,159.38,5280860,160.35,160.85,159.33
9/13/17,160.02,4704553,160.39,161.38,159.55
9/12/17,159.91,5779997,159.06,160.93,158.71
9/11/17,158.37,8844733,158.42,158.74,156.22
9/8/17,159.66,10066800,159.09,160.69,157.52
9/7/17,157.93,8258520,158.17,159.28,156.79
9/6/17,156.56,8114018,154.86,157.03,154.145
9/5/17,152.93,7503747,151.71,153.92,151.7
9/1/17,150.78,3382461,150.26,150.94,149.76
8/31/17,149.87,6082108,150.61,150.925,149.85
8/30/17,150,3637619,150,150.25,149.28
8/29/17,149.84,5360757,150.07,150.9,149.03
8/28/17,151.39,6836305,151.94,152.39,150.43
8/25/17,149.65,3026011,148.51,150.53,148.4
8/24/17,148.25,3735054,149.73,150.6,147.98
8/23/17,149.1,5203150,148.58,149.48,147.4271
8/22/17,149.91,3267334,149.29,150.58,149.29
8/21/17,149.2,4210017,147.1,149.88,146.89
8/18/17,147.49,6845373,149.61,149.61,146.96
8/17/17,149.67,4368875,151.81,152.15,149.61
8/16/17,152.25,6040785,151.45,152.95,151.16
8/15/17,150.17,13508910,154.275,154.8,148.26
8/14/17,154.26,6642327,156.04,156.05,153.56
8/11/17,154.88,3645144,154.11,155.72,153.98
8/10/17,153.88,4423448,155.19,155.98,153.88
8/9/17,155.26,3842218,153.35,155.57,153.32
8/8/17,153.35,3196695,153.32,154.2,153.08
8/7/17,153.35,3832995,152.83,154.47,152.47
8/4/17,152.75,3256147,151.01,152.75,150.8
8/3/17,150.79,5146465,150.7,152.03,150.5
8/2/17,150.5,3753303,149.94,150.86,149.92
